order_id,product_id,supplier_id,warehouse_id,order_date,delivery_date,quantity,unit_price,shipping_cost,order_status
O000028,P461,S021,W10,2023-02-09,2023-02-27,183,3238.45,319.13,Delayed
O000029,P090,S017,W01,2023-08-04,2023-08-19,116,3527.72,335.31,Delayed
O000030,P361,S087,W01,2023-12-02,2023-12-14,121,2557.97,447.04,Delayed
O000031,P437,S063,W13,2023-04-02,2023-04-21,196,3869.06,256.06,Delayed
O000032,P485,S065,W04,2023-12-19,2023-12-26,161,1557.65,96.09,Delivered
O000033,P083,S030,W08,2024-07-24,2024-07-25,99,1666.37,273.73,Delivered
O000034,P217,S084,W18,2025-03-26,2025-03-28,96,2757.13,26.23,Delivered
O000035,P083,S074,W08,2025-02-19,2025-03-10,182,2269.09,447.33,Delayed
O000036,P117,S036,W18,2023-12-29,2024-01-11,43,1610.4,6.54,Delayed
O000037,P223,S001,W15,2024-07-10,2024-07-28,120,355.58,22.15,Delayed
O000038,P401,S080,W10,2023-12-22,2024-01-01,59,183.91,175.93,Delayed
O000039,P090,S057,W15,2023-07-10,2023-07-23,104,3639.55,444.5,Delayed
O000040,P487,S059,W04,2024-02-26,2024-03-02,43,764.01,340.94,Delivered
O000041,P120,S047,W11,2024-11-30,2024-12-13,100,539.38,135.79,Delayed
O000042,P172,S004,W07,2023-01-07,2023-01-16,8,2702.99,120.2,Delayed
O000043,P240,S001,W06,2023-05-13,2023-05-14,64,3649.53,443.07,Delivered
O000044,P429,S081,W09,2024-07-10,2024-07-16,193,4667.25,378.26,Delivered
O000045,P008,S083,W16,2025-04-05,2025-04-06,36,3127.0,229.83,Delivered
O000046,P064,S021,W19,2025-01-30,2025-02-17,26,4663.77,256.77,Delayed
O000047,P396,S078,W06,2025-11-20,2025-12-06,15,2629.19,437.89,Delayed
O000048,P320,S073,W08,2024-06-18,2024-06-26,69,3013.03,329.2,Delayed
O000049,P369,S079,W07,2024-03-01,2024-03-07,87,4008.6,401.48,Delivered
O000050,P250,S013,W08,2024-11-02,2024-11-15,6,3326.4,310.56,Delayed
O000051,P026,S009,W07,2023-12-29,2024-01-15,79,2610.94,216.53,Delayed
O000052,P016,S082,W03,2023-03-23,2023-04-05,53,2680.73,332.13,Delayed
O000053,P112,S062,W06,2023-12-22,2024-01-01,151,2681.41,435.63,Delayed
O000054,P060,S075,W04,2024-08-11,2024-08-17,194,1757.44,297.12,Delivered
O000055,P042,S037,W08,2023-10-22,2023-11-09,31,2081.29,235.85,Delayed
O000056,P033,S019,W05,2025-12-05,2025-12-18,57,3363.65,115.26,Delayed
O000057,P439,S070,W12,2023-01-17,2023-02-01,99,947.55,356.91,Delayed
O000058,P401,S099,W11,2023-12-26,2024-01-01,189,4675.71,344.29,Delivered
O000059,P325,S016,W07,2025-05-15,2025-05-26,179,4254.99,5.3,Delayed
O000060,P388,S042,W18,2024-11-30,2024-12-08,69,2961.03,473.64,Delayed
O000061,P195,S035,W12,2024-03-23,2024-04-06,23,2091.07,469.92,Delayed
O000062,P065,S066,W14,2025-05-05,2025-05-18,156,4325.11,442.85,Delayed
O000063,P456,S033,W04,2023-12-31,2024-01-02,134,3356.71,496.02,Delivered
O000064,P275,S048,W08,2024-11-05,2024-11-06,78,4228.76,490.75,Delivered
O000065,P154,S048,W01,2025-10-04,2025-10-09,132,1967.88,455.44,Delivered
O000066,P036,S030,W15,2024-04-11,2024-04-22,96,4229.95,269.39,Delayed
O000067,P494,S055,W14,2024-02-18,2024-02-28,153,221.1,248.05,Delayed
O000068,P308,S086,W10,2024-08-08,2024-08-20,156,411.21,182.14,Delayed
O000069,P129,S036,W06,2025-09-20,2025-09-30,53,4639.1,51.82,Delayed
O000070,P337,S077,W17,2024-07-25,2024-08-03,78,2052.83,88.22,Delayed
O000071,P100,S070,W20,2023-12-01,2023-12-03,14,4811.02,443.87,Delivered
O000072,P294,S080,W15,2023-02-06,2023-02-10,101,3540.74,21.51,Delivered
O000073,P379,S100,W05,2025-09-15,2025-09-19,78,2972.19,492.22,Delivered
O000074,P348,S032,W06,2023-10-05,2023-10-11,97,2134.07,311.66,Delivered
O000075,P256,S025,W04,2025-07-04,2025-07-16,42,4633.72,310.15,Delayed
O000076,P398,S071,W06,2024-04-28,2024-05-05,156,3851.26,118.06,Delivered
O000077,P173,S019,W04,2024-12-31,2025-01-19,167,2320.73,206.58,Delayed
O000078,P150,S052,W03,2023-07-11,2023-07-13,41,1570.85,51.49,Delivered
O000079,P292,S094,W10,2025-11-06,2025-11-25,71,2693.85,436.89,Delayed
O000080,P246,S046,W07,2024-06-07,2024-06-11,114,3175.29,476.88,Delivered
O000081,P267,S054,W02,2025-07-06,2025-07-09,122,3064.47,96.28,Delivered
O000082,P210,S018,W02,2024-02-05,2024-02-09,187,2900.98,378.72,Delivered
O000083,P251,S088,W18,2025-06-04,2025-06-18,19,1702.19,442.33,Delayed
O000084,P112,S062,W12,2024-12-05,2024-12-11,32,4342.0,220.07,Delivered
O000085,P388,S067,W15,2023-01-22,2023-01-28,98,3752.01,437.9,Delivered
O000086,P180,S069,W13,2024-04-18,2024-04-27,8,1296.8,134.31,Delayed
O000087,P298,S089,W11,2023-07-29,2023-08-03,31,3230.14,393.48,Delivered
O000088,P352,S074,W06,2023-11-02,2023-11-09,10,4601.76,16.27,Delivered
O000089,P335,S071,W06,2024-12-04,2024-12-17,14,3734.85,15.04,Delayed
O000090,P479,S047,W20,2024-11-17,2024-11-18,94,4253.82,166.92,Delivered
O000091,P222,S024,W08,2023-10-12,2023-10-14,155,2058.59,223.65,Delivered
O000092,P270,S023,W01,2024-12-16,2024-12-26,146,2798.41,283.7,Delayed
O000093,P014,S024,W10,2025-02-01,2025-02-07,47,1369.12,125.2,Delivered
O000094,P047,S031,W17,2025-08-05,2025-08-09,180,1066.83,476.47,Delivered
O000095,P085,S056,W13,2024-01-16,2024-01-24,74,3462.38,185.7,Delayed
O000096,P337,S018,W16,2024-04-04,2024-04-18,24,2559.6,498.83,Delayed
O000097,P115,S014,W14,2025-10-27,2025-11-12,188,2581.95,291.05,Delayed
O000098,P451,S018,W17,2023-01-29,2023-02-13,32,1529.87,27.51,Delayed
O000099,P276,S073,W19,2025-06-25,2025-07-08,185,526.59,337.56,Delayed
O000100,P483,S036,W14,2025-11-22,2025-12-04,138,2838.33,130.04,Delayed
O000101,P030,S022,W15,2025-05-28,2025-06-04,170,2554.08,143.43,Delivered
O000102,P054,S079,W04,2023-03-20,2023-04-04,135,2647.24,188.61,Delayed
O000103,P162,S087,W07,2025-08-04,2025-08-10,160,658.75,417.01,Delivered
O000104,P485,S097,W10,2024-04-03,2024-04-17,96,4288.05,474.74,Delayed
O000105,P390,S079,W13,2024-07-23,2024-08-07,192,382.6,113.41,Delayed
O000106,P124,S056,W19,2025-01-07,2025-01-18,89,3902.66,26.17,Delayed
O000107,P096,S097,W03,2024-05-30,2024-06-03,113,1703.0,490.34,Delivered
O000108,P201,S058,W01,2024-02-01,2024-02-06,73,4554.3,382.79,Delivered
O000109,P490,S024,W17,2023-02-08,2023-02-10,151,2272.85,233.86,Delivered
O000110,P353,S078,W01,2025-06-05,2025-06-20,41,4382.71,38.73,Delayed
O000111,P451,S015,W12,2025-03-07,2025-03-17,196,359.35,424.38,Delayed
O000112,P347,S049,W17,2023-06-06,2023-06-10,111,3532.83,430.72,Delivered
O000113,P119,S066,W15,2025-06-02,2025-06-10,50,2329.16,421.28,Delayed
O000114,P096,S018,W08,2025-08-31,2025-09-11,73,2349.01,456.23,Delayed
O000115,P056,S082,W11,2025-11-11,2025-11-28,59,4875.07,83.88,Delayed
O000116,P485,S022,W07,2025-04-28,2025-05-05,33,1253.89,167.53,Delivered
O000117,P393,S013,W12,2025-01-17,2025-01-28,147,3934.84,20.22,Delayed
O000118,P344,S071,W20,2025-09-15,2025-09-25,60,2720.04,211.37,Delayed
O000119,P449,S001,W01,2023-01-21,2023-01-22,158,2009.26,448.51,Delivered
O000120,P081,S002,W07,2023-10-30,2023-11-07,32,1727.61,52.34,Delayed
O000121,P360,S087,W09,2025-05-18,2025-05-23,4,630.67,473.98,Delivered
O000122,P366,S051,W15,2023-03-25,2023-04-07,68,4774.98,414.17,Delayed
O000123,P208,S093,W14,2024-07-23,2024-07-30,79,475.97,444.38,Delivered
O000124,P457,S098,W15,2025-07-22,2025-08-02,191,869.16,164.53,Delayed
O000125,P409,S028,W02,2025-10-05,2025-10-17,71,3587.7,150.71,Delayed
O000126,P272,S019,W15,2025-03-03,2025-03-17,11,4980.31,177.8,Delayed
O000127,P048,S075,W09,2025-03-02,2025-03-14,190,2474.62,300.7,Delayed
O000128,P400,S022,W04,2024-05-06,2024-05-07,178,155.53,474.99,Delivered
O000129,P283,S047,W15,2023-07-27,2023-08-02,187,1086.5,289.7,Delivered
O000130,P262,S046,W13,2025-12-19,2025-12-30,88,2071.14,125.08,Delayed
O000131,P103,S004,W12,2024-03-05,2024-03-16,24,4786.17,204.32,Delayed
O000132,P133,S045,W02,2025-09-11,2025-09-23,191,658.77,495.99,Delayed
O000133,P292,S015,W09,2024-06-03,2024-06-04,131,4513.0,17.69,Delivered
O000134,P430,S002,W09,2024-08-13,2024-08-19,55,1283.15,452.03,Delivered
O000135,P472,S052,W08,2025-11-16,2025-11-29,134,74.18,160.46,Delayed
O000136,P499,S093,W04,2023-07-18,2023-07-30,128,411.79,110.05,Delayed
O000137,P107,S021,W10,2024-01-22,2024-02-01,31,2764.66,126.92,Delayed
O000138,P295,S067,W01,2023-12-15,2023-12-22,80,4841.96,75.34,Delivered
O000139,P294,S068,W20,2025-08-17,2025-08-27,197,1783.35,126.39,Delayed
O000140,P298,S069,W19,2024-11-23,2024-12-11,165,2157.11,377.88,Delayed
O000141,P216,S077,W13,2024-01-13,2024-01-19,73,3782.79,165.29,Delivered
O000142,P338,S084,W17,2025-06-17,2025-06-25,177,2179.67,190.63,Delayed
O000143,P069,S076,W05,2025-07-04,2025-07-13,86,4547.46,87.55,Delayed
O000144,P452,S055,W20,2024-06-10,2024-06-26,136,4905.82,392.95,Delayed
O000145,P291,S063,W15,2025-01-03,2025-01-05,49,3010.4,118.11,Delivered
O000146,P278,S096,W16,2023-07-25,2023-08-05,174,167.62,294.58,Delayed
O000147,P453,S032,W02,2024-03-30,2024-04-18,6,600.16,66.17,Delayed
O000148,P099,S066,W14,2024-06-04,2024-06-08,17,287.48,64.45,Delivered
O000149,P110,S080,W10,2025-10-13,2025-10-16,1,3442.05,499.59,Delivered
O000150,P301,S003,W19,2025-08-13,2025-08-28,178,901.32,255.28,Delayed
O000151,P134,S025,W05,2024-12-26,2025-01-03,147,2509.74,440.72,Delayed
O000152,P461,S084,W07,2025-10-10,2025-10-14,21,960.33,491.28,Delivered
O000153,P068,S067,W12,2024-05-15,2024-05-26,103,4096.12,99.82,Delayed
O000154,P353,S075,W06,2023-04-27,2023-05-14,10,2235.26,95.97,Delayed
O000155,P499,S070,W19,2024-01-21,2024-01-30,80,4962.32,220.42,Delayed
O000156,P357,S046,W07,2024-08-06,2024-08-07,159,2074.38,432.89,Delivered
O000157,P173,S089,W10,2024-01-30,2024-02-07,158,4474.54,430.63,Delayed
O000158,P226,S092,W16,2025-12-23,2025-12-25,89,2744.26,404.48,Delivered
O000159,P073,S004,W17,2024-12-21,2025-01-03,179,3056.29,265.68,Delayed
O000160,P362,S094,W10,2023-03-13,2023-03-14,96,181.54,68.95,Delivered
O000161,P207,S002,W19,2023-10-01,2023-10-11,99,2581.24,385.32,Delayed
O000162,P305,S047,W15,2023-12-04,2023-12-16,94,3889.11,479.31,Delayed
O000163,P180,S072,W12,2024-08-29,2024-09-09,131,2449.67,471.95,Delayed
O000164,P340,S063,W17,2023-06-15,2023-06-25,185,1019.93,107.17,Delayed
O000165,P178,S046,W01,2023-01-11,2023-01-25,92,3722.66,58.31,Delayed
O000166,P186,S061,W19,2024-12-29,2025-01-12,76,4515.32,49.0,Delayed
O000167,P399,S014,W08,2025-03-11,2025-03-19,51,4900.72,239.34,Delayed
O000168,P497,S004,W04,2023-04-12,2023-04-23,19,4517.61,99.58,Delayed
O000169,P001,S050,W12,2025-02-17,2025-02-26,21,2832.87,404.94,Delayed
O000170,P458,S057,W01,2023-08-02,2023-08-17,3,1913.17,363.66,Delayed
O000171,P458,S045,W08,2024-02-05,2024-02-06,61,3133.17,171.47,Delivered
O000172,P325,S097,W07,2024-08-10,2024-08-29,151,2510.55,19.46,Delayed
O000173,P059,S016,W03,2025-06-07,2025-06-25,25,4155.54,287.59,Delayed
O000174,P170,S039,W10,2025-12-05,2025-12-17,156,2740.64,293.96,Delayed
O000175,P209,S087,W01,2024-08-14,2024-08-22,102,1391.05,426.04,Delayed
O000176,P141,S008,W02,2023-04-02,2023-04-07,129,4530.95,330.49,Delivered
O000177,P110,S083,W05,2024-11-03,2024-11-16,14,3008.17,46.32,Delayed
O000178,P324,S046,W19,2024-12-14,2024-12-31,101,3253.88,234.69,Delayed
O000179,P372,S064,W11,2025-07-24,2025-07-25,141,1760.27,489.09,Delivered
O000180,P276,S052,W12,2023-08-30,2023-09-01,15,3508.26,280.4,Delivered
O000181,P293,S019,W02,2023-01-02,2023-01-09,119,527.62,77.72,Delivered
O000182,P079,S090,W20,2023-08-13,2023-08-15,26,2132.81,413.63,Delivered
O000183,P050,S082,W06,2025-03-11,2025-03-15,126,1814.66,239.54,Delivered
O000184,P163,S029,W17,2024-08-11,2024-08-24,55,2309.06,318.59,Delayed
O000185,P023,S051,W12,2023-04-26,2023-05-10,110,2484.17,316.91,Delayed
O000186,P351,S014,W15,2025-07-06,2025-07-09,118,377.84,231.35,Delivered
O000187,P079,S036,W12,2023-07-13,2023-07-22,28,4503.75,243.78,Delayed
O000188,P143,S011,W13,2025-05-20,2025-06-07,4,2719.8,464.27,Delayed
O000189,P028,S056,W16,2023-03-31,2023-04-16,56,2126.4,315.91,Delayed
O000190,P362,S050,W05,2023-05-02,2023-05-21,38,2033.54,220.01,Delayed
O000191,P476,S045,W03,2023-05-23,2023-06-01,111,1847.76,261.32,Delayed
O000192,P268,S073,W04,2025-09-20,2025-10-09,22,474.37,257.56,Delayed
O000193,P364,S095,W01,2023-04-16,2023-04-22,174,2727.61,35.11,Delivered
O000194,P217,S039,W02,2025-06-05,2025-06-17,102,751.88,489.4,Delayed
O000195,P126,S065,W15,2024-03-03,2024-03-18,155,3795.56,428.79,Delayed
O000196,P288,S034,W16,2023-11-13,2023-11-19,153,888.56,474.27,Delivered
O000197,P357,S030,W13,2024-09-26,2024-10-01,166,1724.5,392.91,Delivered
O000198,P261,S021,W01,2023-01-09,2023-01-23,17,4988.45,13.77,Delayed
O000199,P057,S075,W12,2025-02-12,2025-03-03,60,605.86,322.42,Delayed
O000200,P287,S003,W07,2023-08-11,2023-08-29,165,3497.14,453.04,Delayed
O000201,P415,S032,W14,2024-07-06,2024-07-19,13,3213.08,254.23,Delayed
O000202,P232,S057,W20,2024-12-16,2024-12-25,27,2727.11,46.32,Delayed
O000203,P284,S068,W10,2023-04-21,2023-04-28,34,1984.16,274.53,Delivered
O000204,P333,S086,W14,2023-09-08,2023-09-20,146,173.69,78.58,Delayed
O000205,P477,S057,W01,2024-01-18,2024-01-27,25,3308.9,36.12,Delayed
O000206,P296,S023,W11,2023-01-07,2023-01-09,79,446.67,356.15,Delivered
O000207,P309,S050,W10,2024-04-03,2024-04-06,157,4927.64,46.53,Delivered
O000208,P284,S100,W04,2023-07-27,2023-08-01,135,1174.11,255.71,Delivered
O000209,P036,S015,W01,2025-06-18,2025-07-06,22,998.39,52.54,Delayed
O000210,P333,S050,W17,2023-01-22,2023-02-05,119,2446.41,270.7,Delayed
O000211,P115,S063,W17,2024-02-14,2024-03-04,178,4548.57,467.84,Delayed
O000212,P378,S020,W11,2025-06-13,2025-06-18,30,2046.02,201.85,Delivered
O000213,P106,S041,W06,2024-05-29,2024-06-08,151,4029.5,343.07,Delayed
O000214,P420,S047,W15,2025-03-19,2025-04-04,107,2919.36,143.46,Delayed
O000215,P115,S038,W03,2025-05-23,2025-05-24,197,1059.02,24.65,Delivered
O000216,P118,S006,W09,2023-01-14,2023-01-18,166,4577.85,33.26,Delivered
O000217,P467,S066,W12,2025-08-28,2025-09-02,72,4517.56,176.99,Delivered
O000218,P051,S094,W06,2025-09-04,2025-09-15,196,1417.4,286.34,Delayed
O000219,P465,S044,W15,2025-10-10,2025-10-24,81,949.11,229.78,Delayed
O000220,P041,S019,W04,2025-11-01,2025-11-12,190,2431.78,483.68,Delayed
O000221,P309,S030,W17,2023-03-28,2023-04-05,27,2806.63,113.76,Delayed
O000222,P240,S089,W12,2025-06-27,2025-06-28,118,4017.34,207.55,Delivered
O000223,P315,S034,W11,2023-05-02,2023-05-09,186,78.79,277.83,Delivered
O000224,P362,S054,W18,2025-01-19,2025-02-01,176,3261.0,159.91,Delayed
O000225,P447,S029,W15,2024-11-15,2024-11-21,179,14.92,241.49,Delivered
O000226,P078,S068,W08,2023-11-05,2023-11-09,20,1107.06,271.38,Delivered
O000227,P079,S010,W14,2024-11-25,2024-12-07,80,3936.81,277.46,Delayed
O000228,P433,S083,W13,2023-10-15,2023-10-20,113,4380.5,391.9,Delivered
O000229,P188,S096,W14,2023-11-03,2023-11-08,165,1588.1,23.12,Delivered
O000230,P159,S028,W02,2025-07-02,2025-07-19,23,1020.97,310.88,Delayed
O000231,P468,S058,W11,2024-10-23,2024-10-29,89,388.16,319.56,Delivered
O000232,P003,S058,W15,2024-07-02,2024-07-12,88,2365.23,387.06,Delayed
O000233,P295,S014,W03,2023-11-08,2023-11-24,50,1285.3,208.94,Delayed
O000234,P422,S011,W01,2025-05-22,2025-06-05,151,1365.87,415.07,Delayed
O000235,P168,S076,W13,2025-12-18,2025-12-28,7,4109.07,421.14,Delayed
O000236,P414,S041,W01,2025-07-12,2025-07-29,32,2945.87,54.41,Delayed
O000237,P456,S069,W17,2025-01-24,2025-01-29,190,691.87,364.2,Delivered
O000238,P024,S079,W16,2023-02-04,2023-02-06,40,676.13,264.82,Delivered
O000239,P405,S022,W01,2024-03-20,2024-03-24,87,37.68,163.16,Delivered
O000240,P320,S069,W12,2023-04-03,2023-04-21,176,4217.79,356.47,Delayed
O000241,P435,S079,W18,2023-12-19,2023-12-27,174,4019.14,204.56,Delayed
O000242,P028,S069,W20,2025-06-21,2025-07-05,78,3838.23,456.28,Delayed
O000243,P180,S076,W12,2025-05-11,2025-05-24,98,1834.3,316.05,Delayed
O000244,P381,S055,W04,2023-06-08,2023-06-15,80,4494.16,397.23,Delivered
O000245,P087,S018,W01,2025-08-14,2025-08-23,171,1914.56,112.18,Delayed
O000246,P392,S050,W02,2023-01-24,2023-01-28,144,1773.86,384.51,Delivered
O000247,P073,S067,W05,2024-02-08,2024-02-13,49,1776.57,44.83,Delivered
O000248,P165,S029,W19,2025-03-15,2025-03-30,26,2985.75,355.72,Delayed
O000249,P314,S024,W02,2024-05-30,2024-06-08,188,1895.18,83.7,Delayed
O000250,P206,S021,W20,2025-01-01,2025-01-19,109,1431.72,54.99,Delayed
O000251,P308,S039,W05,2024-06-15,2024-06-29,81,2856.79,475.89,Delayed
O000252,P234,S082,W18,2025-08-13,2025-08-28,158,3693.85,77.78,Delayed
O000253,P404,S051,W12,2023-06-01,2023-06-02,34,818.37,171.39,Delivered
O000254,P479,S097,W17,2025-08-04,2025-08-23,53,4511.52,352.42,Delayed
O000255,P012,S073,W07,2024-08-30,2024-08-31,101,938.21,364.57,Delivered
O000256,P467,S025,W16,2024-02-24,2024-03-01,189,2446.09,128.24,Delivered
O000257,P484,S080,W04,2025-05-15,2025-05-23,144,2911.48,393.08,Delayed
O000258,P088,S090,W01,2024-07-31,2024-08-04,40,462.25,450.77,Delivered
O000259,P392,S018,W03,2023-12-01,2023-12-17,115,4073.34,114.01,Delayed
O000260,P086,S056,W15,2025-07-20,2025-07-31,129,1984.67,365.59,Delayed
O000261,P284,S061,W20,2023-10-22,2023-10-26,63,3634.85,429.1,Delivered
O000262,P232,S010,W13,2025-01-24,2025-02-04,77,1014.1,467.36,Delayed
O000263,P220,S022,W01,2023-07-05,2023-07-15,196,4242.65,363.4,Delayed
O000264,P404,S053,W09,2024-09-28,2024-10-15,180,634.59,252.19,Delayed
O000265,P163,S026,W12,2024-06-13,2024-06-22,42,4854.45,150.85,Delayed
O000266,P407,S051,W16,2023-01-21,2023-01-31,14,504.73,400.52,Delayed
O000267,P027,S029,W04,2025-06-29,2025-07-07,3,1402.23,227.64,Delayed
O000268,P198,S084,W13,2025-05-16,2025-05-30,30,2502.63,159.75,Delayed
O000269,P370,S095,W01,2025-03-04,2025-03-17,131,2268.0,127.21,Delayed
O000270,P466,S089,W03,2023-04-10,2023-04-13,48,2866.03,27.72,Delivered
O000271,P062,S025,W18,2025-01-21,2025-02-04,45,4738.49,205.45,Delayed
O000272,P186,S022,W05,2024-04-22,2024-05-06,185,2105.01,360.07,Delayed
O000273,P485,S077,W01,2025-07-28,2025-07-31,24,1296.37,325.86,Delivered
O000274,P288,S057,W15,2024-06-09,2024-06-25,78,2239.07,339.8,Delayed
O000275,P227,S076,W04,2023-11-30,2023-12-10,91,4011.11,415.38,Delayed
O000276,P174,S076,W10,2023-01-02,2023-01-06,66,4972.86,18.45,Delivered
O000277,P275,S060,W10,2024-01-10,2024-01-28,104,3801.3,461.25,Delayed
O000278,P089,S024,W15,2023-10-20,2023-10-24,17,4940.93,82.64,Delivered
O000279,P265,S004,W13,2025-04-16,2025-04-18,111,3450.21,364.53,Delivered
O000280,P128,S021,W03,2025-10-01,2025-10-12,21,2491.6,273.58,Delayed
O000281,P449,S056,W10,2024-07-06,2024-07-21,30,4665.08,153.66,Delayed
O000282,P134,S067,W14,2023-11-14,2023-11-25,17,625.6,188.77,Delayed
O000283,P082,S062,W20,2024-01-16,2024-01-22,191,4892.21,74.23,Delivered
O000284,P165,S056,W04,2023-01-14,2023-02-01,47,961.06,49.7,Delayed
O000285,P208,S079,W14,2024-05-18,2024-06-05,6,3260.35,211.26,Delayed
O000286,P459,S013,W04,2023-08-19,2023-08-20,175,1949.2,498.03,Delivered
O000287,P082,S039,W17,2023-05-10,2023-05-23,4,4501.18,218.23,Delayed
O000288,P045,S040,W17,2025-04-17,2025-04-18,137,3722.5,293.62,Delivered
O000289,P251,S082,W18,2025-06-09,2025-06-22,180,2771.71,190.77,Delayed
O000290,P278,S001,W09,2023-01-28,2023-02-02,186,4502.12,332.6,Delivered
O000291,P493,S076,W20,2023-03-07,2023-03-24,77,4600.18,17.37,Delayed
O000292,P077,S010,W17,2023-09-18,2023-10-04,165,2811.74,424.75,Delayed
O000293,P043,S078,W18,2024-04-04,2024-04-22,45,2330.14,154.38,Delayed
O000294,P173,S043,W10,2023-10-28,2023-11-07,109,1702.74,304.92,Delayed
O000295,P329,S096,W10,2025-07-07,2025-07-24,32,3178.38,368.96,Delayed
O000296,P055,S069,W17,2023-10-14,2023-10-21,100,248.73,156.39,Delivered
O000297,P481,S041,W03,2025-10-30,2025-11-14,108,4104.45,56.51,Delayed
O000298,P198,S056,W13,2024-09-21,2024-10-10,8,2802.13,277.93,Delayed
O000299,P477,S076,W11,2023-09-27,2023-10-06,114,1800.07,292.2,Delayed
O000300,P095,S075,W14,2024-08-14,2024-08-19,182,2484.63,496.88,Delivered
O000301,P034,S099,W13,2025-04-23,2025-05-03,156,2369.84,290.95,Delayed
O000302,P364,S084,W13,2025-05-11,2025-05-24,185,4084.73,488.94,Delayed
O000303,P366,S047,W01,2023-05-13,2023-05-14,106,3751.14,452.42,Delivered
O000304,P059,S040,W18,2025-08-29,2025-09-04,38,2635.44,347.36,Delivered
O000305,P466,S056,W11,2024-05-27,2024-05-30,128,3400.9,306.46,Delivered
O000306,P254,S006,W13,2023-11-09,2023-11-26,154,3360.5,81.4,Delayed
O000307,P236,S076,W02,2024-07-29,2024-08-10,15,1378.17,306.87,Delayed
O000308,P211,S035,W16,2025-06-04,2025-06-15,7,4424.94,292.92,Delayed
O000309,P184,S072,W03,2024-11-17,2024-11-25,164,3164.61,437.49,Delayed
O000310,P055,S082,W07,2023-06-14,2023-06-26,97,3913.04,433.54,Delayed
O000311,P080,S040,W14,2023-11-01,2023-11-12,184,852.66,337.57,Delayed
O000312,P212,S080,W20,2023-06-05,2023-06-10,95,3341.69,402.91,Delivered
O000313,P206,S010,W17,2024-09-11,2024-09-19,121,4565.83,298.77,Delayed
O000314,P179,S079,W11,2025-08-14,2025-08-26,126,3652.75,165.79,Delayed
O000315,P369,S008,W20,2023-11-30,2023-12-06,62,2555.45,404.24,Delivered
O000316,P298,S079,W08,2025-08-26,2025-09-04,122,2636.13,161.98,Delayed
O000317,P196,S062,W04,2024-05-25,2024-06-11,45,386.08,38.74,Delayed
O000318,P144,S068,W13,2025-11-09,2025-11-11,164,1859.45,64.01,Delivered
O000319,P152,S095,W06,2023-10-09,2023-10-10,114,3195.98,240.54,Delivered
O000320,P289,S060,W03,2025-03-07,2025-03-25,187,383.67,77.6,Delayed
O000321,P290,S073,W17,2025-10-21,2025-10-24,11,4714.8,379.67,Delivered
O000322,P205,S038,W09,2023-04-29,2023-05-13,125,2010.94,454.4,Delayed
O000323,P042,S057,W19,2025-11-24,2025-12-07,128,3413.29,378.46,Delayed
O000324,P082,S079,W09,2023-07-17,2023-07-19,85,1372.07,271.12,Delivered
